Census_Tract_Name,Total population
Census Tract 1175.30; Los Angeles County; California!!Estimate,"5,741"
Census Tract 1190.01; Los Angeles County; California!!Estimate,"4,283"
Census Tract 1190.03; Los Angeles County; California!!Estimate,"3,332"
Census Tract 1190.04; Los Angeles County; California!!Estimate,"2,759"
Census Tract 1192.01; Los Angeles County; California!!Estimate,"3,976"
Census Tract 1192.02; Los Angeles County; California!!Estimate,"4,674"
Census Tract 1193.10; Los Angeles County; California!!Estimate,"3,767"
Census Tract 1193.20; Los Angeles County; California!!Estimate,"4,292"
Census Tract 1193.40; Los Angeles County; California!!Estimate,"3,748"
Census Tract 1193.41; Los Angeles County; California!!Estimate,"2,744"
Census Tract 1193.42; Los Angeles County; California!!Estimate,"2,791"
Census Tract 1194; Los Angeles County; California!!Estimate,"4,650"
Census Tract 1197; Los Angeles County; California!!Estimate,"4,414"
Census Tract 1198.01; Los Angeles County; California!!Estimate,"2,702"
Census Tract 1198.02; Los Angeles County; California!!Estimate,"3,094"
Census Tract 1199; Los Angeles County; California!!Estimate,"4,503"
Census Tract 1200.10; Los Angeles County; California!!Estimate,"2,643"
Census Tract 1200.20; Los Angeles County; California!!Estimate,"3,973"
Census Tract 1200.30; Los Angeles County; California!!Estimate,"2,576"
Census Tract 1201.03; Los Angeles County; California!!Estimate,"2,879"
Census Tract 1201.04; Los Angeles County; California!!Estimate,"2,603"
Census Tract 1201.05; Los Angeles County; California!!Estimate,"2,755"
Census Tract 1201.06; Los Angeles County; California!!Estimate,"4,282"
Census Tract 1201.07; Los Angeles County; California!!Estimate,"4,130"
Census Tract 1201.08; Los Angeles County; California!!Estimate,"4,558"
Census Tract 1203; Los Angeles County; California!!Estimate,"5,469"
Census Tract 1204; Los Angeles County; California!!Estimate,"5,820"
Census Tract 1210.10; Los Angeles County; California!!Estimate,"5,213"
Census Tract 1210.20; Los Angeles County; California!!Estimate,"3,481"
Census Tract 1211.01; Los Angeles County; California!!Estimate,"3,345"
Census Tract 1211.02; Los Angeles County; California!!Estimate,"2,254"
Census Tract 1212.10; Los Angeles County; California!!Estimate,"3,168"
Census Tract 1212.21; Los Angeles County; California!!Estimate,"2,047"
Census Tract 1212.22; Los Angeles County; California!!Estimate,"5,111"
Census Tract 1216; Los Angeles County; California!!Estimate,"2,604"
Census Tract 1218.01; Los Angeles County; California!!Estimate,"4,302"
Census Tract 1218.02; Los Angeles County; California!!Estimate,"3,192"
Census Tract 1219; Los Angeles County; California!!Estimate,"3,329"
Census Tract 1220; Los Angeles County; California!!Estimate,"5,326"
Census Tract 1221.20; Los Angeles County; California!!Estimate,"4,387"
Census Tract 1221.21; Los Angeles County; California!!Estimate,"2,726"
Census Tract 1221.22; Los Angeles County; California!!Estimate,"2,562"
Census Tract 1222; Los Angeles County; California!!Estimate,"3,625"
Census Tract 1224.10; Los Angeles County; California!!Estimate,"4,083"
Census Tract 1224.20; Los Angeles County; California!!Estimate,"5,328"
Census Tract 1230.10; Los Angeles County; California!!Estimate,"3,828"
Census Tract 1230.20; Los Angeles County; California!!Estimate,"2,804"
Census Tract 1231.03; Los Angeles County; California!!Estimate,"3,893"
Census Tract 1231.04; Los Angeles County; California!!Estimate,"4,700"
Census Tract 1232.03; Los Angeles County; California!!Estimate,"2,926"
Census Tract 1232.04; Los Angeles County; California!!Estimate,"3,333"
Census Tract 1232.05; Los Angeles County; California!!Estimate,"2,834"
Census Tract 1232.06; Los Angeles County; California!!Estimate,"2,470"
Census Tract 1233.01; Los Angeles County; California!!Estimate,"3,956"
Census Tract 1233.03; Los Angeles County; California!!Estimate,"2,842"
Census Tract 1233.04; Los Angeles County; California!!Estimate,"4,435"
Census Tract 1234.10; Los Angeles County; California!!Estimate,"3,469"
Census Tract 1234.20; Los Angeles County; California!!Estimate,"4,453"
Census Tract 1235.10; Los Angeles County; California!!Estimate,"4,652"
Census Tract 1235.20; Los Angeles County; California!!Estimate,"2,488"
Census Tract 1236.01; Los Angeles County; California!!Estimate,"5,498"
Census Tract 1236.02; Los Angeles County; California!!Estimate,"3,099"
Census Tract 1237; Los Angeles County; California!!Estimate,"3,827"
Census Tract 1238; Los Angeles County; California!!Estimate,"5,552"
Census Tract 1239.01; Los Angeles County; California!!Estimate,"4,369"
Census Tract 1239.02; Los Angeles County; California!!Estimate,"2,758"
Census Tract 1240; Los Angeles County; California!!Estimate,"4,502"
Census Tract 1241.02; Los Angeles County; California!!Estimate,"3,653"
Census Tract 1241.03; Los Angeles County; California!!Estimate,"1,891"
Census Tract 1241.04; Los Angeles County; California!!Estimate,"2,777"
Census Tract 1241.05; Los Angeles County; California!!Estimate,"2,191"
Census Tract 1242.01; Los Angeles County; California!!Estimate,"3,445"
Census Tract 1242.03; Los Angeles County; California!!Estimate,"2,063"
Census Tract 1242.04; Los Angeles County; California!!Estimate,"2,537"
Census Tract 1243; Los Angeles County; California!!Estimate,"3,094"
Census Tract 1244; Los Angeles County; California!!Estimate,"4,470"
Census Tract 1245; Los Angeles County; California!!Estimate,"2,728"
Census Tract 1246; Los Angeles County; California!!Estimate,"2,849"
Census Tract 1247; Los Angeles County; California!!Estimate,"5,251"
Census Tract 1249.02; Los Angeles County; California!!Estimate,"3,129"
