Census_Tract_Name,Total population
2149.03,1568
2149.04,1459
2151.01,3024
2151.02,3322
2161,2393
2162.01,2591
2162.02,2525
2163.01,1414
2163.02,3158
2164.01,3660
2164.02,2663
2167,3441
2168,3333
2169.01,2799
2169.02,2201
2170.01,2777
2170.02,4952
2171.01,2674
2171.02,2773
2172,3976
2181.10,3167
2181.20,3571
2182.10,4124
2182.20,4042
2183,4811
2184,3996
2185,2739
2186,3129
2187.01,1880
2187.02,2705
2188,2732
2189,5444
2190.10,3214
2190.20,4326
2193,3772
2195,1965
2197,4198
2198,3033
2199.01,5206
2199.02,3509
2200,4505
2201,2463
2211.10,3037
2211.20,2946
2212.10,2945
2212.20,2752
2213.02,3259
2213.03,2531
2213.04,3707
2214.01,2965
2214.02,2965
2215,3527
2216.01,3264
2216.02,2223
2217.10,2658
2218.10,2433
2218.20,2529
2219,4572
2220.01,2837
2220.02,4719
2221,4086
2222,3642
2225,4194
2226,5268
2227,4316
2240.10,2974
2240.20,2816
2242,2174
2243.10,1779
2243.20,3593
2244.10,2783
2244.20,2168
2246,3078
2247.01,2463
2247.02,2508
2260.01,2027
2260.02,1873
2264.10,3561
2264.20,5225
2267.01,2518
2267.02,3993
2270.10,4279
2270.20,3506
2281,4392
2282.10,3801
2282.20,4470
2283.10,4493
2283.20,3420
2284.10,3096
2284.20,2893
2285,4836
2286,4734
2287.10,4104
2287.20,4909
2288,5375
2289,3187
2291,4572
2292,4550
2293,5742
2294.10,3897
2294.20,4611
2311,3407
2312.10,4261
2312.20,4143
2313.01,2570
2313.02,2890
2314,4480
2315,5048
2316.01,2230
2316.02,1870
2316.03,2895
2317.10,4026
2317.20,5174
2318,5469
2319.01,3440
2319.02,3207
2321.10,3491
2321.20,4935
2322,3765
2323,4766
2324.01,3582
2324.02,3098
2325,5422
2326.01,1688
2326.02,5524
2327.01,2348
2327.02,4414
2328,4184
2340.01,2517
2340.02,2896
2342,2605
2343.01,1779
2343.02,2459
2345.01,2770
2345.02,2601
2346,4694
2347,3838
2348,3534
2349.01,2916
2349.02,4535
2351,4032
2352.01,2880
2352.02,3887
2360.01,4063
2361.01,2606
2361.02,3510
2362.03,3615
2362.04,3387
2362.05,3070
2362.06,3175
2364,4390
2371.01,4136
2371.02,3970
2372.01,3766
2372.02,4404
2373,5762
2374.01,3906
2374.02,3618
2375,2727
2376,4092
2377.10,4372
2377.20,3447
2378,4160
2379,4040
2380,5438
2381,5205
2382,6827
2383.10,5102
2383.20,3513
2384,4495
2392.01,3400
2392.02,5385
2393.10,4021
2393.20,3105
2393.30,3119
2395.01,3583
2395.02,3691
2396.01,3753
2396.02,3753
2397.01,4021
2397.02,4687
2398.01,4174
2398.02,5426
2400.10,3962
2400.20,5366
2402,5737
2403.01,2870
2403.02,3013
2404.01,5911
2404.02,3904
2405,6415
2406,4807
2407,6429
2408,4749
2409.01,2503
2409.02,3614
2410.01,4457
2410.02,3830
2411.10,3585
2411.20,4245
2412.01,3147
2412.02,4825
2413,2378
2414,3901
2420,4161
2421,2402
2422.01,4004
2422.02,2729
2423,4851
2426,4714
2427,4723
2430.01,3246
2430.02,2721
2431,5186
2611.02,3990
2611.03,1722
2611.04,1672
2612,3880
2621,2721
2622,4630
2623.01,2976
2623.02,2940
2623.03,2824
2624,2893
2625.01,3732
2626.01,3418
2626.04,5884
2627.04,3595
2627.06,3383
2628.02,3636
2640,3083
2641.02,2965
2641.03,2748
2643.03,2702
2643.04,2264
2643.05,4526
2643.06,1694
2651,2301
2652.01,2491
2652.03,1993
2652.04,1466
2653.01,12987
2653.03,4468
2653.04,3088
2653.06,1806
2653.07,2407
2654.10,1726
2654.20,1636
2655.21,1585
2655.22,2332
2655.23,2286
2655.24,2768
2656.01,3045
2656.02,3057
2657.01,1845
2657.02,3107
2671.01,2891
2671.02,2957
2672.01,2832
2672.02,3779
2673,4155
2674.03,3559
2674.04,3547
2674.05,2423
2674.06,1932
2675.02,3281
2675.03,2216
2675.04,3568
2676,2469
2677,3753
2678,3483
2679.01,3106
2679.02,3609
2690,4867
2691,4264
2693,3771
2695,4202
2696.01,3465
2696.02,2217
2697,3858
2698,3140
2699.03,3487
2699.05,2234
2699.06,2998
2699.07,2553
2699.08,1916
2699.09,2088
2701.01,1796
2701.02,2154
2702,3606
2703,2560
2711,2317
2712,2495
2713,5216
2714,3203
2715,2928
2716,5370
2717.02,4293
2717.03,2754
2717.04,2982
2718.01,3368
2718.03,3188
2718.04,2293
2719.01,3358
2719.02,3987
2721,4441
2722.01,2022
2722.02,3034
2723.01,3265
2723.02,3779
2731,3026
2732,2778
2733,2857
2734.03,1360
2734.04,1508
2735.02,2571
2736,2138
2737,2751
2738,2945
2739.02,4238
2741,4365
2742.02,3858
2751.01,935
2751.02,4043
2752,3793
2753.11,4805
2753.12,2042
2753.13,3583
2754,4487
2755,5102
2756.03,2778
2756.04,10392
2756.05,2878
2760,6682
2761.01,3424
2761.02,3365
2764,4448
2765,5508
2766.01,4101
2766.05,2461
2766.06,3384
2766.07,2879
2766.08,1874
2770,6014
2771,3285
2772,1796
2774,0
2780.01,2349
2781.02,2973
2911.10,4192
2911.20,2041
2911.30,3233
2912.10,4766
2912.20,2942
2913,3025
2920.01,4511
2920.02,1968
2932.03,2785
2932.04,3694
2932.05,3372
2932.06,2696
2933.01,2556
2933.02,4496
2933.04,4796
2933.06,2424
2933.07,2532
2941.10,3866
2941.20,2618
2942,4306
2943.01,2798
2943.02,4490
2944.10,5142
2944.21,2694
2945.10,4361
2945.20,3563
2946.10,4359
2946.20,3860
2947.01,2692
2948.10,3830
2948.20,3275
2948.30,3927
2949,4045
2951.03,5081
2962.10,3365
2962.20,4124
2963,5103
2964.01,3251
2964.02,3175
2965,3746
2966,5368
2969.01,4202
2969.02,4792
2970.01,1694
2970.02,4508
2971.10,4584
2971.20,3517
2972.01,3964
2972.02,4112
2973,2074
2974,3607
2975.01,2586
2975.02,2602
2976.01,3556
2976.02,3575
3001,6511
3002,5550
3003.01,5834
3004,5810
3005.01,2911
3005.03,4968
3006.01,5899
3006.02,3251
3007.01,5129
3007.02,5450
3008,7139
3009.01,5475
3009.02,2077
3010,5512
3011,7113
3012.03,3768
3012.04,4705
3012.05,2078
3012.06,5510
3013,2047
3014,3970
3015.01,1774
3015.02,7329
3016.01,5388
3016.02,3657
3017.01,2661
3017.02,6020
3018.01,5625
3018.02,5403
3019.01,3884
3019.02,3261
3020.02,4016
3020.03,3740
3020.04,4184
3021.02,5866
3021.03,4995
3021.04,3521
3022.01,3718
3022.02,4924
3023.01,3765
3023.02,5245
3024.01,7673
3025.03,3978
3025.04,3519
3025.05,3972
3025.06,3385
3101,5535
3102.01,5082
3102.02,4718
3103,3032
3104,3636
3105.01,3699
3106.01,6498
3106.02,2735
3107.01,2429
3107.03,5270
3107.04,4470
3107.05,2530
3108,5123
3109,6810
3110,3764
