GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037139701,1397.01,5635
1400000U,6037139703,1397.03,2554
1400000U,6037139704,1397.04,2871
1400000U,6037139705,1397.05,4011
1400000U,6037139801,1398.01,3514
1400000U,6037139802,1398.02,3832
1400000U,6037141101,1411.01,4691
1400000U,6037141102,1411.02,2959
1400000U,6037141201,1412.01,3954
1400000U,6037141202,1412.02,3111
1400000U,6037141303,1413.03,3055
1400000U,6037141304,1413.04,2947
1400000U,6037141305,1413.05,2913
1400000U,6037141306,1413.06,3222
1400000U,6037141400,1414,5021
1400000U,6037141500,1415,2887
1400000U,6037141600,1416,4035
1400000U,6037141700,1417,3086
1400000U,6037143101,1431.01,2216
1400000U,6037143102,1431.02,2174
1400000U,6037143200,1432,4215
1400000U,6037143301,1433.01,3273
1400000U,6037143302,1433.02,3301
1400000U,6037143401,1434.01,5300
1400000U,6037143402,1434.02,1959
1400000U,6037143500,1435,5325
1400000U,6037143602,1436.02,4816
1400000U,6037143603,1436.03,2452
1400000U,6037143605,1436.05,1899
1400000U,6037143606,1436.06,1759
1400000U,6037143700,1437,3380
1400000U,6037143801,1438.01,3201
1400000U,6037143802,1438.02,2273
1400000U,6037143901,1439.01,4055
1400000U,6037143902,1439.02,3167
1400000U,6037181000,1810,5588
1400000U,6037181300,1813,4053
1400000U,6037181400,1814,4463
1400000U,6037181500,1815,4014
1400000U,6037181600,1816,4208
1400000U,6037183101,1831.01,2962
1400000U,6037183103,1831.03,4424
1400000U,6037183104,1831.04,1940
1400000U,6037183220,1832.2,2954
1400000U,6037183221,1832.21,3192
1400000U,6037183222,1832.22,3459
1400000U,6037183300,1833,3140
1400000U,6037183401,1834.01,2592
1400000U,6037183402,1834.02,3175
1400000U,6037183510,1835.1,2432
1400000U,6037183520,1835.2,3492
1400000U,6037183610,1836.1,2826
1400000U,6037183620,1836.2,3067
1400000U,6037183701,1837.01,3445
1400000U,6037183702,1837.02,3007
1400000U,6037183810,1838.1,4139
1400000U,6037183820,1838.2,3573
1400000U,6037185101,1851.01,2408
1400000U,6037185102,1851.02,3503
1400000U,6037185202,1852.02,4099
1400000U,6037185203,1852.03,2497
1400000U,6037185204,1852.04,1888
1400000U,6037185310,1853.1,2871
1400000U,6037185320,1853.2,2871
1400000U,6037186100,1861,4633
1400000U,6037186201,1862.01,3374
1400000U,6037186202,1862.02,1808
1400000U,6037186203,1862.03,2753
1400000U,6037186301,1863.01,2729
1400000U,6037186302,1863.02,4719
1400000U,6037186401,1864.01,2948
1400000U,6037186403,1864.03,2533
1400000U,6037186404,1864.04,2528
1400000U,6037187101,1871.01,3114
1400000U,6037187102,1871.02,4494
1400000U,6037187200,1872,2908
1400000U,6037187300,1873,3820
1400000U,6037188100,1881,3756
1400000U,6037188201,1882.01,2839
1400000U,6037188202,1882.02,3043
1400000U,6037188300,1883,3228
1400000U,6037189101,1891.01,2461
1400000U,6037189102,1891.02,3797
1400000U,6037189201,1892.01,2779
1400000U,6037189202,1892.02,3167
1400000U,6037189300,1893,2754
1400000U,6037189400,1894,3011
1400000U,6037189501,1895.01,2214
1400000U,6037189502,1895.02,1842
1400000U,6037189600,1896,3658
1400000U,6037189702,1897.02,2393
1400000U,6037189703,1897.03,1993
1400000U,6037189704,1897.04,2099
1400000U,6037189801,1898.01,2192
1400000U,6037189802,1898.02,1979
1400000U,6037189903,1899.03,2191
1400000U,6037189904,1899.04,2432
1400000U,6037189905,1899.05,2421
1400000U,6037189906,1899.06,2491
1400000U,6037189907,1899.07,2543
1400000U,6037190101,1901.01,1599
1400000U,6037190102,1901.02,2249
1400000U,6037190201,1902.01,3673
1400000U,6037190202,1902.02,2720
1400000U,6037190302,1903.02,2711
1400000U,6037190303,1903.03,2544
1400000U,6037190401,1904.01,2784
1400000U,6037190402,1904.02,2419
1400000U,6037190510,1905.1,3884
1400000U,6037190520,1905.2,3462
1400000U,6037190701,1907.01,1643
1400000U,6037190702,1907.02,1412
